iso_code,pop,cpi,emp
533,89009,2.280371983,6.68
24,15866871,248.1959024,3.88
8,3108778,0.389437654,16.62
20,64368,3.374230289,6.68
784,2966029,3.374230289,2.15
32,36467218,3.374230289,14.05
51,3089020,0.64824576,11.2
28,74674,1.121287896,6.68
36,18926000,1.483129403,6.87
40,7992324,0.568993766,4.7
31,7982750,-8.525170005,10.9
108,6267132,3.385424273,1.89
204,6664102,0.326722893,0.92
854,11282696,-1.072613628,2.52
50,125189655,6.106695898,3.09
100,8210624,2.573042819,14.1
48,636540,-1.287587972,0.93
44,294063,1.25424826,7.45
70,3743353,3.374230289,24.78
112,10026738,293.6787509,12.8
84,238979,3.374230289,12.84
60,61285,3.374230289,6.68
68,8257066,2.159516268,2.91
76,172318674,4.858447499,10.21
52,270455,1.560062402,10.61
96,326214,-0.415627598,5.41
64,577886,6.77732942,1.4
140,3558019,-1.414202201,4.5
124,30401286,1.734842951,7.58
152,15162801,3.336879175,11.16
156,1252735000,-1.401472683,3.3
384,16032573,0.702375806,4.33
120,15112598,1.871745007,7.75
180,45919615,284.8949759,2.93
178,3038432,4.142671373,20.05
170,38999468,10.87339782,20.06
174,528853,3.374230289,4.61
132,420456,4.356433745,10.82
188,3885428,10.04528173,5.9
192,11084673,3.374230289,6.26
196,926049,1.63,5.7
203,10283860,2.135448444,8.49
276,82100243,0.585433144,8.86
262,699973,3.374230289,11.7
212,69828,1.179477874,6.68
208,5321799,2.497795444,5.14
214,8343288,6.470541868,6.46
12,30623406,2.645511134,28.37
218,12442109,52.24235091,4.82
818,67515591,3.079499126,7.95
724,40386875,2.31034695,15.48
233,1390244,3.296110897,11.57
231,64343008,7.941448641,3.71
246,5165474,1.162231557,11.69
242,806302,1.96867366,3.98
583,107769,3.374230289,6.68
266,1199058,-1.936603976,17.49
826,58682466,1.752950801,6.04
268,4157192,19.19267582,13.8
288,18812369,12.40866891,10.1
324,8054745,3.374230289,4.55
270,1277118,3.812372054,9.57
624,1177133,-2.086305132,3.18
226,581765,0.37226617,8.57
300,10761698,2.636637863,11.85
308,102429,0.577427639,6.68
304,56100,3.374230289,6.68
320,11311078,5.213610586,2.81
328,749676,7.538219399,11.91
344,6606500,-4.009433962,6.25
340,6397140,11.66374098,3.85
191,4512597,4.019138756,13.56
332,8319070,3.004394216,7.2
348,10237530,9.997744093,6.93
360,208615171,20.47783111,6.36
372,3754786,1.631923764,5.8
364,64800875,20.07070781,10.89
368,22802061,12.57776234,9.07
352,277381,3.231832609,2.18
376,6125000,5.175055994,11.18
388,2632677,5.954239491,15.74
400,5031754,0.606256568,13.74
392,126631000,-0.341296928,4.7
398,14928374,8.296027653,13.46
404,31098763,5.742001095,2.95
417,4840400,37.03092584,8.4
116,11886464,4.008207021,1.02
296,82969,3.374230289,6.68
659,43622,3.363036304,6.68
410,46616677,0.812996589,6.34
414,1951642,2.990810359,0.7
418,5235339,125.2721284,2.09
422,3747762,3.374230289,8.45
434,5275921,2.648622523,19.24
662,154988,3.503797841,18.09
144,18663293,4.69170563,8.88
440,3524238,0.727550627,13.39
428,2390482,2.364818361,13.79
446,418388,-3.199455412,6.3
504,28455504,0.684782609,13.94
498,2929735,39.25598069,11.14
450,15282524,9.929533993,5.83
462,273522,2.953708361,1.7
484,97484823,16.58561697,2.6
584,50418,3.374230289,6.68
807,2024393,-1.279286576,32.4
466,10642937,-1.201903686,4.62
470,387578,2.134768888,6.24
104,46181075,18.40104337,0.83
496,2376228,7.564941503,6.21
508,17244176,3.374230289,2.82
478,2561584,4.074176136,10.01
480,1175267,6.909146249,9.34
454,10854325,44.80416429,6.06
458,22661293,2.744561302,3.43
540,209214,3.374230289,17.78
562,10929922,-2.302125038,1.49
566,119260055,6.618373395,3.85
558,4991041,3.374230289,7.61
528,15812088,2.157179181,3.62
524,23509971,7.45111261,1.85
554,3835100,-0.11426713,7.02
512,2254898,3.374230289,3.42
586,138624625,4.142637181,0.64
591,2971197,1.247182569,3.81
604,26078295,3.469659963,5.81
608,76325927,5.939049018,3.73
598,5716166,14.93218174,2.94
616,38660271,7.154072912,12.29
620,10217828,2.340094903,4.58
600,5216346,6.752265861,9.4
258,236217,3.374230289,11.46
634,570486,2.181703204,0.53
642,22472040,45.80378113,6.24
643,147214776,85.7464941,13.04
646,7501238,-2.405932097,0.72
682,20194531,-1.333763502,4.35
686,9568717,0.827250608,5.66
702,3958723,0.016709834,4.85
90,401592,8.020368393,2.15
694,4462374,3.374230289,3.46
222,5844834,0.51482713,6.68
740,465380,98.77309141,13.6
703,5396020,10.57044161,15.95
705,1983045,6.155587545,7.32
752,8857874,0.462175756,7.61
690,80410,6.347305389,6.68
760,16013992,-3.703703704,7.6
148,8053532,-8.025059627,1
768,4780455,-0.053213625,4.49
764,62298569,0.284726459,2.97
762,6119664,3.374230289,15.4
795,4466133,3.374230289,12.7
776,97475,4.464354677,3.34
780,1263927,3.439135909,3.54
788,9613587,2.690124858,15.21
792,62287391,64.86748764,7.69
798,9344,3.374230289,6.68
834,32682240,7.890433361,3.17
800,22952406,5.777368987,2.58
804,49674000,22.68367181,11.86
858,3308005,5.658688039,10.47
842,279040000,2.188027197,4.22
860,24311650,3.374230289,13.3
670,107763,1.013550444,20.98
862,23739835,3.374230289,14.53
704,79035871,4.117102358,2.33
548,181259,1.998974885,4.74
882,173606,0.265120133,4.34
887,16921157,8.660219494,11.46
894,10140564,26.78769668,12.5
716,11822722,3.374230289,6
